Summer - School holiday, 2025-07-04, 2025-08-15
Autumn - School holiday, 2025-10-13, 2025-10-24
Christmas - School holiday, 2025-12-22, 2026-01-02
Additional - School holiday, 2026-02-12, 2026-02-13
Spring - School holiday, 2026-04-03, 2026-04-17
Additional - School holiday, 2026-05-04, 2026-05-04
Additional - School holiday, 2026-06-01, 2026-06-01
Summer - School holiday, 2026-07-06, 2026-08-18
School in-service day, 2025-08-18, 2025-08-18
School in-service day, 2025-08-19, 2025-08-19
School in-service day, 2025-11-14, 2025-11-14
School in-service day, 2026-02-11, 2026-02-11
School in-service day, 2026-05-07, 2026-05-07
Autumn - School holiday, 2026-10-12, 2026-10-23
Christmas - School holiday, 2026-12-23, 2027-01-05
Additional - School holiday, 2027-02-11, 2027-02-12
Spring - School holiday, 2027-03-26, 2027-04-09
Additional - School holiday, 2027-05-03, 2027-05-03
Additional - School holiday, 2027-06-07, 2027-06-07
Summer - School holiday, 2027-07-05, 2027-08-17
School in-service day, 2026-08-17, 2026-08-17
School in-service day, 2026-08-18, 2026-08-18
School in-service day, 2026-11-13, 2026-11-13
School in-service day, 2027-02-10, 2027-02-10
School in-service day, 2027-05-06, 2027-05-06

